Month,Price,Export - Swiztzerland,Import - UK
1/1/1996,399.45,1.46,0.98
2/1/1996,404.76,1.46,0.98
3/1/1996,396.21,1.46,0.98
4/1/1996,392.85,1.46,0.98
5/1/1996,391.93,1.46,0.98
6/1/1996,385.27,1.46,0.98
7/1/1996,383.47,1.46,0.98
8/1/1996,387.35,1.46,0.98
9/1/1996,383.14,1.46,0.98
10/1/1996,381.07,1.46,0.98
11/1/1996,377.85,1.46,0.98
12/1/1996,369,1.46,0.98
1/1/1997,355.11,1.46,0.98
2/1/1997,346.58,1.46,0.98
3/1/1997,351.81,1.46,0.98
4/1/1997,344.47,1.46,0.98
5/1/1997,343.84,1.46,0.98
6/1/1997,340.76,1.46,0.98
7/1/1997,324.1,1.46,0.98
8/1/1997,324.01,1.46,0.98
9/1/1997,322.82,1.46,0.98
10/1/1997,324.87,1.46,0.98
11/1/1997,306.04,1.46,0.98
12/1/1997,288.74,1.46,0.98
1/1/1998,289.1,1.44,0.93
2/1/1998,297.49,1.44,0.93
3/1/1998,295.94,1.44,0.93
4/1/1998,308.29,1.44,0.93
5/1/1998,299.1,1.44,0.93
6/1/1998,292.32,1.44,0.93
7/1/1998,292.87,1.44,0.93
8/1/1998,284.11,1.44,0.93
9/1/1998,288.98,1.44,0.93
10/1/1998,295.93,1.44,0.93
11/1/1998,294.12,1.44,0.93
12/1/1998,291.68,1.44,0.93
1/1/1999,287.08,1.44,0.93
2/1/1999,287.33,1.44,0.93
3/1/1999,285.96,1.44,0.93
4/1/1999,282.62,1.44,0.93
5/1/1999,276.44,1.44,0.93
6/1/1999,261.31,1.44,0.93
7/1/1999,256.08,1.44,0.93
8/1/1999,256.69,1.44,0.93
9/1/1999,264.74,1.44,0.93
10/1/1999,310.72,1.44,0.93
11/1/1999,293.18,1.44,0.93
12/1/1999,283.07,1.44,0.93
1/1/2000,284.32,1.58,1.04
2/1/2000,299.86,1.58,1.04
3/1/2000,286.39,1.58,1.04
4/1/2000,279.69,1.58,1.04
5/1/2000,275.19,1.58,1.04
6/1/2000,285.73,1.58,1.04
7/1/2000,281.59,1.58,1.04
8/1/2000,274.47,1.58,1.04
9/1/2000,273.68,1.58,1.04
10/1/2000,270,1.58,1.04
11/1/2000,266.01,1.58,1.04
12/1/2000,271.45,1.58,1.04
1/1/2001,265.49,1.58,1.04
2/1/2001,261.87,1.58,1.04
3/1/2001,263.03,1.58,1.04
4/1/2001,260.48,1.58,1.04
5/1/2001,272.36,1.58,1.04
6/1/2001,270.23,1.58,1.04
7/1/2001,267.53,1.58,1.04
8/1/2001,272.39,1.58,1.04
9/1/2001,283.42,1.58,1.04
10/1/2001,283.06,1.58,1.04
11/1/2001,276.16,1.58,1.04
12/1/2001,275.85,1.58,1.04
1/1/2002,281.51,1.54,0.68
2/1/2002,295.5,1.54,0.68
3/1/2002,294.06,1.54,0.68
4/1/2002,302.68,1.54,0.68
5/1/2002,314.49,1.54,0.68
6/1/2002,321.18,1.54,0.68
7/1/2002,313.29,1.54,0.68
8/1/2002,310.26,1.54,0.68
9/1/2002,319.14,1.54,0.68
10/1/2002,316.56,1.54,0.68
11/1/2002,319.07,1.54,0.68
12/1/2002,331.92,1.54,0.68
1/1/2003,356.86,1.25,0.27
2/1/2003,358.97,1.25,0.27
3/1/2003,340.55,1.25,0.27
4/1/2003,328.18,1.25,0.27
5/1/2003,355.68,1.25,0.27
6/1/2003,356.35,1.25,0.27
7/1/2003,351.02,1.25,0.27
8/1/2003,359.77,1.25,0.27
9/1/2003,378.95,1.25,0.27
10/1/2003,378.92,1.25,0.27
11/1/2003,389.91,1.25,0.27
12/1/2003,406.95,1.25,0.27
1/1/2004,413.79,1.23,0.14
2/1/2004,404.88,1.23,0.14
3/1/2004,406.67,1.23,0.14
4/1/2004,403.26,1.23,0.14
5/1/2004,383.78,1.23,0.14
6/1/2004,392.37,1.23,0.14
7/1/2004,398.09,1.23,0.14
8/1/2004,400.51,1.23,0.14
9/1/2004,405.28,1.23,0.14
10/1/2004,420.46,1.23,0.14
11/1/2004,439.38,1.23,0.14
12/1/2004,442.08,1.23,0.14
1/1/2005,424.03,1.2,0.13
2/1/2005,423.35,1.2,0.13
3/1/2005,433.85,1.2,0.13
4/1/2005,429.23,1.2,0.13
5/1/2005,421.87,1.2,0.13
6/1/2005,430.66,1.2,0.13
7/1/2005,424.48,1.2,0.13
8/1/2005,437.93,1.2,0.13
9/1/2005,456.05,1.2,0.13
10/1/2005,469.9,1.2,0.13
11/1/2005,476.67,1.2,0.13
12/1/2005,510.1,1.2,0.13
1/1/2006,549.86,1.27,0.67
2/1/2006,555,1.27,0.67
3/1/2006,557.09,1.27,0.67
4/1/2006,610.65,1.27,0.67
5/1/2006,675.39,1.27,0.67
6/1/2006,596.15,1.27,0.67
7/1/2006,633.71,1.27,0.67
